Season,Date,Home,Away,URL
2023/2024,12-11-2023,WestHam,Nottingham Forest,https://www.xscores.com/soccer/match/west-ham-vs-nottingham-forest/12-11-2023/2139540
2023/2024,12-11-2023,Chelsea,Manchester City,https://www.xscores.com/soccer/match/chelsea-vs-manchester-city/12-11-2023/2139536
2023/2024,25-11-2023,Manchester City,Liverpool,https://www.xscores.com/soccer/match/manchester-city-vs-liverpool/25-11-2023/2139543
2023/2024,25-11-2023,Burnley,WestHam,https://www.xscores.com/soccer/match/burnley-vs-west-ham/25-11-2023/2139547
2023/2024,25-11-2023,Luton,Crystal Palace,https://www.xscores.com/soccer/match/luton-vs-crystal-palace/25-11-2023/2139544
2023/2024,25-11-2023,Newcastle,Chelsea,https://www.xscores.com/soccer/match/newcastle-vs-chelsea/25-11-2023/2139558
2023/2024,25-11-2023,Nottingham Forest,Brighton,https://www.xscores.com/soccer/match/nottingham-forest-vs-brighton/25-11-2023/2139557
2023/2024,25-11-2023,Sheffield United,Bournemouth,https://www.xscores.com/soccer/match/sheffield-united-vs-bournemouth/25-11-2023/2139556
2023/2024,25-11-2023,Brentford,Arsenal,https://www.xscores.com/soccer/match/brentford-vs-arsenal/25-11-2023/2139542
2023/2024,26-11-2023,Tottenham,Aston Villa,https://www.xscores.com/soccer/match/tottenham-vs-aston-villa/26-11-2023/2139555
2023/2024,26-11-2023,Everton,Manchester United,https://www.xscores.com/soccer/match/everton-vs-manchester-united/26-11-2023/2139546
2023/2024,27-11-2023,Fulham,Wolverhampton,https://www.xscores.com/soccer/match/fulham-vs-wolverhampton/27-11-2023/2139545
2023/2024,02-12-2023,Arsenal,Wolverhampton,https://www.xscores.com/soccer/match/arsenal-vs-wolverhampton/02-12-2023/2139553
2023/2024,02-12-2023,Brentford,Luton,https://www.xscores.com/soccer/match/brentford-vs-luton/02-12-2023/2139552
2023/2024,02-12-2023,Burnley,Sheffield United,https://www.xscores.com/soccer/match/burnley-vs-sheffield-united/02-12-2023/2139551
2023/2024,02-12-2023,Nottingham Forest,Everton,https://www.xscores.com/soccer/match/nottingham-forest-vs-everton/02-12-2023/2139567
2023/2024,02-12-2023,Newcastle,Manchester United,https://www.xscores.com/soccer/match/newcastle-vs-manchester-united/02-12-2023/2139568
2023/2024,03-12-2023,Bournemouth,Aston Villa,https://www.xscores.com/soccer/match/bournemouth-vs-aston-villa/03-12-2023/2139554
2023/2024,03-12-2023,Chelsea,Brighton,https://www.xscores.com/soccer/match/chelsea-vs-brighton/03-12-2023/2139550
2023/2024,03-12-2023,Liverpool,Fulham,https://www.xscores.com/soccer/match/liverpool-vs-fulham/03-12-2023/2139549
2023/2024,03-12-2023,WestHam,Crystal Palace,https://www.xscores.com/soccer/match/west-ham-vs-crystal-palace/03-12-2023/2139566
2023/2024,03-12-2023,Manchester City,Tottenham,https://www.xscores.com/soccer/match/manchester-city-vs-tottenham/03-12-2023/2139548
2023/2024,05-12-2023,Wolverhampton,Burnley,https://www.xscores.com/soccer/match/wolverhampton-vs-burnley/05-12-2023/2139569
2023/2024,05-12-2023,Luton,Arsenal,https://www.xscores.com/soccer/match/luton-vs-arsenal/05-12-2023/2139560
2023/2024,06-12-2023,Brighton,Brentford,https://www.xscores.com/soccer/match/brighton-vs-brentford/06-12-2023/2139564
2023/2024,06-12-2023,Crystal Palace,Bournemouth,https://www.xscores.com/soccer/match/crystal-palace-vs-bournemouth/06-12-2023/2139570
2023/2024,06-12-2023,Fulham,Nottingham Forest,https://www.xscores.com/soccer/match/fulham-vs-nottingham-forest/06-12-2023/2139559
2023/2024,06-12-2023,Sheffield United,Liverpool,https://www.xscores.com/soccer/match/sheffield-united-vs-liverpool/06-12-2023/2139561
2023/2024,06-12-2023,Aston Villa,Manchester City,https://www.xscores.com/soccer/match/aston-villa-vs-manchester-city/06-12-2023/2139565
2023/2024,06-12-2023,Manchester United,Chelsea,https://www.xscores.com/soccer/match/manchester-united-vs-chelsea/06-12-2023/2139576
2023/2024,07-12-2023,Everton,Newcastle,https://www.xscores.com/soccer/match/everton-vs-newcastle/07-12-2023/2139563
2023/2024,07-12-2023,Tottenham,WestHam,https://www.xscores.com/soccer/match/tottenham-vs-west-ham/07-12-2023/2139562
2023/2024,09-12-2023,Crystal Palace,Liverpool,https://www.xscores.com/soccer/match/crystal-palace-vs-liverpool/09-12-2023/2139573
2023/2024,09-12-2023,Brighton,Burnley,https://www.xscores.com/soccer/match/brighton-vs-burnley/09-12-2023/2139574
2023/2024,09-12-2023,Manchester United,Bournemouth,https://www.xscores.com/soccer/match/manchester-united-vs-bournemouth/09-12-2023/2139584
2023/2024,09-12-2023,Sheffield United,Brentford,https://www.xscores.com/soccer/match/sheffield-united-vs-brentford/09-12-2023/2139583
2023/2024,09-12-2023,Wolverhampton,Nottingham Forest,https://www.xscores.com/soccer/match/wolverhampton-vs-nottingham-forest/09-12-2023/2139581
2023/2024,09-12-2023,Aston Villa,Arsenal,https://www.xscores.com/soccer/match/aston-villa-vs-arsenal/09-12-2023/2139575
2023/2024,10-12-2023,Everton,Chelsea,https://www.xscores.com/soccer/match/everton-vs-chelsea/10-12-2023/2139572
2023/2024,10-12-2023,Fulham,WestHam,https://www.xscores.com/soccer/match/fulham-vs-west-ham/10-12-2023/2139571
2023/2024,10-12-2023,Luton,Manchester City,https://www.xscores.com/soccer/match/luton-vs-manchester-city/10-12-2023/2139585
2023/2024,10-12-2023,Tottenham,Newcastle,https://www.xscores.com/soccer/match/tottenham-vs-newcastle/10-12-2023/2139582
2023/2024,15-12-2023,Nottingham Forest,Tottenham,https://www.xscores.com/soccer/match/nottingham-forest-vs-tottenham/15-12-2023/2139593
2023/2024,16-12-2023,Chelsea,Sheffield United,https://www.xscores.com/soccer/match/chelsea-vs-sheffield-united/16-12-2023/2139592
2023/2024,16-12-2023,Manchester City,Crystal Palace,https://www.xscores.com/soccer/match/manchester-city-vs-crystal-palace/16-12-2023/2139590
2023/2024,16-12-2023,Newcastle,Fulham,https://www.xscores.com/soccer/match/newcastle-vs-fulham/16-12-2023/2139589
2023/2024,16-12-2023,Burnley,Everton,https://www.xscores.com/soccer/match/burnley-vs-everton/16-12-2023/2139577
2023/2024,17-12-2023,Arsenal,Brighton,https://www.xscores.com/soccer/match/arsenal-vs-brighton/17-12-2023/2139579
2023/2024,17-12-2023,Brentford,Aston Villa,https://www.xscores.com/soccer/match/brentford-vs-aston-villa/17-12-2023/2139578
2023/2024,17-12-2023,WestHam,Wolverhampton,https://www.xscores.com/soccer/match/west-ham-vs-wolverhampton/17-12-2023/2139588
