,URL,Goal Type,Score,Player,Elapsed Time,Added Time
88,https://www.xscores.com/soccer/match/newcastle-vs-liverpool/27-08-2023/2139448,Regular goal,1-2,Darwin Nunez,90,3
89,https://www.xscores.com/soccer/match/luton-vs-west-ham/01-09-2023/2139470,Regular goal,0-1,Jarrod Bowen,37,0
90,https://www.xscores.com/soccer/match/luton-vs-west-ham/01-09-2023/2139470,Regular goal,0-2,Kurt Zouma,85,0
91,https://www.xscores.com/soccer/match/luton-vs-west-ham/01-09-2023/2139470,Regular goal,1-2,Mads Juel Andersen,90,2
92,https://www.xscores.com/soccer/match/sheffield-united-vs-everton/02-09-2023/2139472,Regular goal,0-1,Abdoulaye Doucoure,14,0
93,https://www.xscores.com/soccer/match/sheffield-united-vs-everton/02-09-2023/2139472,Regular goal,1-1,Cameron Archer,33,0
94,https://www.xscores.com/soccer/match/sheffield-united-vs-everton/02-09-2023/2139472,Own goal,2-1,Jordan Pickford,45,3
95,https://www.xscores.com/soccer/match/sheffield-united-vs-everton/02-09-2023/2139472,Regular goal,2-2,Arnaut Danjuma,55,0
96,https://www.xscores.com/soccer/match/brentford-vs-bournemouth/02-09-2023/2139445,Regular goal,1-0,Mathias Jensen,7,0
97,https://www.xscores.com/soccer/match/brentford-vs-bournemouth/02-09-2023/2139445,Regular goal,1-1,Dominic Solanke,30,0
98,https://www.xscores.com/soccer/match/brentford-vs-bournemouth/02-09-2023/2139445,Regular goal,1-2,David Brooks,77,0
99,https://www.xscores.com/soccer/match/brentford-vs-bournemouth/02-09-2023/2139445,Regular goal,2-2,Bryan Mbeumo,90,3
100,https://www.xscores.com/soccer/match/burnley-vs-tottenham/02-09-2023/2139444,Regular goal,1-0,Lyle Foster,4,0
101,https://www.xscores.com/soccer/match/burnley-vs-tottenham/02-09-2023/2139444,Regular goal,1-1,Heung-Min Son,16,0
102,https://www.xscores.com/soccer/match/burnley-vs-tottenham/02-09-2023/2139444,Regular goal,1-2,Cristian Romero,45,2
103,https://www.xscores.com/soccer/match/burnley-vs-tottenham/02-09-2023/2139444,Regular goal,1-3,James Maddison,54,0
104,https://www.xscores.com/soccer/match/burnley-vs-tottenham/02-09-2023/2139444,Regular goal,1-4,Heung-Min Son,63,0
105,https://www.xscores.com/soccer/match/burnley-vs-tottenham/02-09-2023/2139444,Regular goal,1-5,Heung-Min Son,66,0
106,https://www.xscores.com/soccer/match/burnley-vs-tottenham/02-09-2023/2139444,Regular goal,2-5,Josh Brownhill,90,4
107,https://www.xscores.com/soccer/match/chelsea-vs-nottingham-forest/02-09-2023/2139467,Regular goal,0-1,Anthony Elanga,48,0
108,https://www.xscores.com/soccer/match/manchester-city-vs-fulham/02-09-2023/2139471,Regular goal,1-0,Julian Alvarez,31,0
109,https://www.xscores.com/soccer/match/manchester-city-vs-fulham/02-09-2023/2139471,Regular goal,1-1,Tim Ream,33,0
110,https://www.xscores.com/soccer/match/manchester-city-vs-fulham/02-09-2023/2139471,Regular goal,2-1,Nathan Ake,45,5
111,https://www.xscores.com/soccer/match/manchester-city-vs-fulham/02-09-2023/2139471,Regular goal,3-1,Erling Haaland,58,0
112,https://www.xscores.com/soccer/match/manchester-city-vs-fulham/02-09-2023/2139471,Penalty,4-1,Erling Haaland,70,0
113,https://www.xscores.com/soccer/match/manchester-city-vs-fulham/02-09-2023/2139471,Regular goal,5-1,Erling Haaland,90,5
114,https://www.xscores.com/soccer/match/brighton-vs-newcastle/02-09-2023/2139443,Regular goal,1-0,Evan Ferguson,27,0
115,https://www.xscores.com/soccer/match/brighton-vs-newcastle/02-09-2023/2139443,Regular goal,2-0,Evan Ferguson,65,0
116,https://www.xscores.com/soccer/match/brighton-vs-newcastle/02-09-2023/2139443,Regular goal,3-0,Evan Ferguson,70,0
117,https://www.xscores.com/soccer/match/brighton-vs-newcastle/02-09-2023/2139443,Regular goal,3-1,Callum Wilson,90,2
118,https://www.xscores.com/soccer/match/crystal-palace-vs-wolverhampton/03-09-2023/2139468,Regular goal,1-0,Odsonne Edouard,56,0
119,https://www.xscores.com/soccer/match/crystal-palace-vs-wolverhampton/03-09-2023/2139468,Regular goal,1-1,Hee-Chan Hwang,65,0
120,https://www.xscores.com/soccer/match/crystal-palace-vs-wolverhampton/03-09-2023/2139468,Regular goal,2-1,Eberechi Eze,78,0
121,https://www.xscores.com/soccer/match/crystal-palace-vs-wolverhampton/03-09-2023/2139468,Regular goal,3-1,Odsonne Edouard,84,0
122,https://www.xscores.com/soccer/match/crystal-palace-vs-wolverhampton/03-09-2023/2139468,Regular goal,3-2,Matheus Cunha,90,6
123,https://www.xscores.com/soccer/match/liverpool-vs-aston-villa/03-09-2023/2139469,Regular goal,1-0,Dominik Szoboszlai,3,0
124,https://www.xscores.com/soccer/match/liverpool-vs-aston-villa/03-09-2023/2139469,Own goal,2-0,Matty Cash,22,0
125,https://www.xscores.com/soccer/match/liverpool-vs-aston-villa/03-09-2023/2139469,Regular goal,3-0,Mohamed Salah,55,0
126,https://www.xscores.com/soccer/match/arsenal-vs-manchester-united/03-09-2023/2139446,Regular goal,0-1,Marcus Rashford,27,0
127,https://www.xscores.com/soccer/match/arsenal-vs-manchester-united/03-09-2023/2139446,Regular goal,1-1,Martin Oedegaard,28,0
128,https://www.xscores.com/soccer/match/arsenal-vs-manchester-united/03-09-2023/2139446,Regular goal,2-1,Declan Rice,90,6
129,https://www.xscores.com/soccer/match/arsenal-vs-manchester-united/03-09-2023/2139446,Regular goal,3-1,Gabriel Jesus,90,11
130,https://www.xscores.com/soccer/match/wolverhampton-vs-liverpool/16-09-2023/2139460,Regular goal,1-0,Hee-Chan Hwang,7,0
131,https://www.xscores.com/soccer/match/wolverhampton-vs-liverpool/16-09-2023/2139460,Regular goal,1-1,Cody Gakpo,55,0
132,https://www.xscores.com/soccer/match/wolverhampton-vs-liverpool/16-09-2023/2139460,Regular goal,1-2,Andrew Robertson,85,0
133,https://www.xscores.com/soccer/match/wolverhampton-vs-liverpool/16-09-2023/2139460,Own goal,1-3,Hugo Bueno,90,1
134,https://www.xscores.com/soccer/match/aston-villa-vs-crystal-palace/16-09-2023/2139474,Regular goal,0-1,Odsonne Edouard,47,0
135,https://www.xscores.com/soccer/match/aston-villa-vs-crystal-palace/16-09-2023/2139474,Regular goal,1-1,Jhon Duran,87,0
136,https://www.xscores.com/soccer/match/aston-villa-vs-crystal-palace/16-09-2023/2139474,Penalty,2-1,Douglas Luiz,90,8
137,https://www.xscores.com/soccer/match/aston-villa-vs-crystal-palace/16-09-2023/2139474,Regular goal,3-1,Leon Bailey,90,11
138,https://www.xscores.com/soccer/match/fulham-vs-luton/16-09-2023/2139466,Regular goal,1-0,Vinicius,65,0
139,https://www.xscores.com/soccer/match/manchester-united-vs-brighton/16-09-2023/2139465,Regular goal,0-1,Danny Welbeck,20,0
140,https://www.xscores.com/soccer/match/manchester-united-vs-brighton/16-09-2023/2139465,Regular goal,0-2,Pascal Gross,53,0
141,https://www.xscores.com/soccer/match/manchester-united-vs-brighton/16-09-2023/2139465,Regular goal,0-3,Joao Pedro,71,0
142,https://www.xscores.com/soccer/match/manchester-united-vs-brighton/16-09-2023/2139465,Regular goal,1-3,Hannibal Mejbri,73,0
143,https://www.xscores.com/soccer/match/tottenham-vs-sheffield-united/16-09-2023/2139457,Regular goal,0-1,Gustavo Hamer,73,0
144,https://www.xscores.com/soccer/match/tottenham-vs-sheffield-united/16-09-2023/2139457,Regular goal,1-1,Richarlison,90,8
145,https://www.xscores.com/soccer/match/tottenham-vs-sheffield-united/16-09-2023/2139457,Regular goal,2-1,Dejan Kulusevski,90,10
146,https://www.xscores.com/soccer/match/west-ham-vs-manchester-city/16-09-2023/2139456,Regular goal,1-0,James Ward-Prowse,36,0
147,https://www.xscores.com/soccer/match/west-ham-vs-manchester-city/16-09-2023/2139456,Regular goal,1-1,Jeremy Doku,46,0
148,https://www.xscores.com/soccer/match/west-ham-vs-manchester-city/16-09-2023/2139456,Regular goal,1-2,Bernardo Silva,76,0
149,https://www.xscores.com/soccer/match/west-ham-vs-manchester-city/16-09-2023/2139456,Regular goal,1-3,Erling Haaland,86,0
150,https://www.xscores.com/soccer/match/newcastle-vs-brentford/16-09-2023/2139459,Penalty,1-0,Callum Wilson,64,0
151,https://www.xscores.com/soccer/match/everton-vs-arsenal/17-09-2023/2139475,Regular goal,0-1,Leandro Trossard,69,0
152,https://www.xscores.com/soccer/match/nottingham-forest-vs-burnley/18-09-2023/2139458,Regular goal,0-1,Zeki Amdouni,41,0
153,https://www.xscores.com/soccer/match/nottingham-forest-vs-burnley/18-09-2023/2139458,Regular goal,1-1,Callum Hudson-Odoi,61,0
154,https://www.xscores.com/soccer/match/luton-vs-wolverhampton/23-09-2023/2139483,Regular goal,0-1,Pedro Neto,50,0
155,https://www.xscores.com/soccer/match/luton-vs-wolverhampton/23-09-2023/2139483,Penalty,1-1,Carlton Morris,65,0
156,https://www.xscores.com/soccer/match/manchester-city-vs-nottingham-forest/23-09-2023/2139482,Regular goal,1-0,Phil Foden,7,0
157,https://www.xscores.com/soccer/match/manchester-city-vs-nottingham-forest/23-09-2023/2139482,Regular goal,2-0,Erling Haaland,14,0
158,https://www.xscores.com/soccer/match/brentford-vs-everton/23-09-2023/2139462,Regular goal,0-1,Abdoulaye Doucoure,6,0
159,https://www.xscores.com/soccer/match/brentford-vs-everton/23-09-2023/2139462,Regular goal,1-1,Mathias Jensen,28,0
160,https://www.xscores.com/soccer/match/brentford-vs-everton/23-09-2023/2139462,Regular goal,1-2,James Tarkowski,67,0
161,https://www.xscores.com/soccer/match/brentford-vs-everton/23-09-2023/2139462,Regular goal,1-3,Dominic Calvert-Lewin,71,0
162,https://www.xscores.com/soccer/match/burnley-vs-manchester-united/23-09-2023/2139464,Regular goal,0-1,Bruno Fernandes,45,0
163,https://www.xscores.com/soccer/match/arsenal-vs-tottenham/24-09-2023/2139461,Own goal,1-0,Cristian Romero,26,0
164,https://www.xscores.com/soccer/match/arsenal-vs-tottenham/24-09-2023/2139461,Regular goal,1-1,Heung-Min Son,42,0
165,https://www.xscores.com/soccer/match/arsenal-vs-tottenham/24-09-2023/2139461,Penalty,2-1,Bukayo Saka,54,0
166,https://www.xscores.com/soccer/match/arsenal-vs-tottenham/24-09-2023/2139461,Regular goal,2-2,Heung-Min Son,55,0
167,https://www.xscores.com/soccer/match/brighton-vs-bournemouth/24-09-2023/2139463,Regular goal,0-1,Dominic Solanke,25,0
168,https://www.xscores.com/soccer/match/brighton-vs-bournemouth/24-09-2023/2139463,Own goal,1-1,Milos Kerkez,45,2
169,https://www.xscores.com/soccer/match/brighton-vs-bournemouth/24-09-2023/2139463,Regular goal,2-1,Kaoru Mitoma,46,0
170,https://www.xscores.com/soccer/match/brighton-vs-bournemouth/24-09-2023/2139463,Regular goal,3-1,Kaoru Mitoma,77,0
171,https://www.xscores.com/soccer/match/chelsea-vs-aston-villa/24-09-2023/2139476,Regular goal,0-1,Ollie Watkins,73,0
172,https://www.xscores.com/soccer/match/liverpool-vs-west-ham/24-09-2023/2139484,Penalty,1-0,Mohamed Salah,16,0
173,https://www.xscores.com/soccer/match/liverpool-vs-west-ham/24-09-2023/2139484,Regular goal,1-1,Jarrod Bowen,42,0
174,https://www.xscores.com/soccer/match/liverpool-vs-west-ham/24-09-2023/2139484,Regular goal,2-1,Darwin Nunez,60,0
175,https://www.xscores.com/soccer/match/liverpool-vs-west-ham/24-09-2023/2139484,Regular goal,3-1,Diogo Jota,85,0
176,https://www.xscores.com/soccer/match/sheffield-united-vs-newcastle/24-09-2023/2139481,Regular goal,0-1,Sean Longstaff,21,0
177,https://www.xscores.com/soccer/match/sheffield-united-vs-newcastle/24-09-2023/2139481,Regular goal,0-2,Daniel Burn,31,0
178,https://www.xscores.com/soccer/match/sheffield-united-vs-newcastle/24-09-2023/2139481,Regular goal,0-3,Sven Botman,35,0
179,https://www.xscores.com/soccer/match/sheffield-united-vs-newcastle/24-09-2023/2139481,Regular goal,0-4,Callum Wilson,56,0
180,https://www.xscores.com/soccer/match/sheffield-united-vs-newcastle/24-09-2023/2139481,Regular goal,0-5,Anthony Gordon,61,0
181,https://www.xscores.com/soccer/match/sheffield-united-vs-newcastle/24-09-2023/2139481,Regular goal,0-6,Miguel Almiron,68,0
