URL,Home Team,Away Team,date,Goal Type,Score,Player,Elapsed Time,Added Time
https://www.xscores.com/soccer/match/newcastle-vs-southampton/28-08-2021/319141,Newcastle,Southampton,2021-08-28T15:00:00,Regular goal,1-0,Callum Wilson,55,0
https://www.xscores.com/soccer/match/newcastle-vs-southampton/28-08-2021/319141,Newcastle,Southampton,2021-08-28T15:00:00,Regular goal,1-1,Mohamed Elyounoussi,74,0
https://www.xscores.com/soccer/match/newcastle-vs-southampton/28-08-2021/319141,Newcastle,Southampton,2021-08-28T15:00:00,Regular goal,2-1,Allan Saint-Maximin,90,0
https://www.xscores.com/soccer/match/newcastle-vs-southampton/28-08-2021/319141,Newcastle,Southampton,2021-08-28T15:00:00,Penalty,2-2,James Ward-Prowse,90,6
https://www.xscores.com/soccer/match/norwich-vs-leicester/28-08-2021/319142,Norwich,Leicester,2021-08-28T15:00:00,Regular goal,0-1,Jamie Vardy,8,0
https://www.xscores.com/soccer/match/norwich-vs-leicester/28-08-2021/319142,Norwich,Leicester,2021-08-28T15:00:00,Penalty,1-1,Teemu Pukki,44,0
https://www.xscores.com/soccer/match/norwich-vs-leicester/28-08-2021/319142,Norwich,Leicester,2021-08-28T15:00:00,Regular goal,1-2,Marc Albrighton,76,0
https://www.xscores.com/soccer/match/west-ham-vs-crystal-palace/28-08-2021/319144,West Ham,Crystal Palace,2021-08-28T15:00:00,Regular goal,1-0,Pablo Fornals,39,0
https://www.xscores.com/soccer/match/west-ham-vs-crystal-palace/28-08-2021/319144,West Ham,Crystal Palace,2021-08-28T15:00:00,Regular goal,1-1,Conor Gallagher,58,0
https://www.xscores.com/soccer/match/west-ham-vs-crystal-palace/28-08-2021/319144,West Ham,Crystal Palace,2021-08-28T15:00:00,Regular goal,2-1,Michail Antonio,68,0
https://www.xscores.com/soccer/match/west-ham-vs-crystal-palace/28-08-2021/319144,West Ham,Crystal Palace,2021-08-28T15:00:00,Regular goal,2-2,Conor Gallagher,70,0
https://www.xscores.com/soccer/match/liverpool-vs-chelsea/28-08-2021/319139,Liverpool,Chelsea,2021-08-28T17:30:00,Regular goal,0-1,Kai Havertz,22,0
https://www.xscores.com/soccer/match/liverpool-vs-chelsea/28-08-2021/319139,Liverpool,Chelsea,2021-08-28T17:30:00,Penalty,1-1,Mohamed Salah,45,5
https://www.xscores.com/soccer/match/burnley-vs-leeds/29-08-2021/319138,Burnley,Leeds,2021-08-29T14:00:00,Regular goal,1-0,Chris Wood,61,0
https://www.xscores.com/soccer/match/burnley-vs-leeds/29-08-2021/319138,Burnley,Leeds,2021-08-29T14:00:00,Regular goal,1-1,Patrick Bamford,86,0
https://www.xscores.com/soccer/match/tottenham-vs-watford/29-08-2021/319143,Tottenham,Watford,2021-08-29T14:00:00,Regular goal,1-0,Heung-Min Son,42,0
https://www.xscores.com/soccer/match/wolverhampton-vs-manchester-united/29-08-2021/319145,Wolverhampton,Manchester United,2021-08-29T16:30:00,Regular goal,0-1,Mason Greenwood,80,0
https://www.xscores.com/soccer/match/crystal-palace-vs-tottenham/11-09-2021/319149,Crystal Palace,Tottenham,2021-09-11T12:30:00,Penalty,1-0,Wilfried Zaha,76,0
https://www.xscores.com/soccer/match/crystal-palace-vs-tottenham/11-09-2021/319149,Crystal Palace,Tottenham,2021-09-11T12:30:00,Regular goal,2-0,Odsonne Edouard,84,0
https://www.xscores.com/soccer/match/crystal-palace-vs-tottenham/11-09-2021/319149,Crystal Palace,Tottenham,2021-09-11T12:30:00,Regular goal,3-0,Odsonne Edouard,90,2
https://www.xscores.com/soccer/match/arsenal-vs-norwich/11-09-2021/319146,Arsenal,Norwich,2021-09-11T15:00:00,Regular goal,1-0,Pierre-Emerick Aubameyang,66,0
https://www.xscores.com/soccer/match/brentford-vs-brighton/11-09-2021/319147,Brentford,Brighton,2021-09-11T15:00:00,Regular goal,0-1,Leandro Trossard,90,0
https://www.xscores.com/soccer/match/leicester-vs-manchester-city/11-09-2021/319152,Leicester,Manchester City,2021-09-11T15:00:00,Regular goal,0-1,Bernardo Silva,62,0
https://www.xscores.com/soccer/match/manchester-united-vs-newcastle/11-09-2021/319153,Manchester United,Newcastle,2021-09-11T15:00:00,Regular goal,1-0,Cristiano Ronaldo,45,2
https://www.xscores.com/soccer/match/manchester-united-vs-newcastle/11-09-2021/319153,Manchester United,Newcastle,2021-09-11T15:00:00,Regular goal,1-1,Javier Manquillo,56,0
https://www.xscores.com/soccer/match/manchester-united-vs-newcastle/11-09-2021/319153,Manchester United,Newcastle,2021-09-11T15:00:00,Regular goal,2-1,Cristiano Ronaldo,62,0
https://www.xscores.com/soccer/match/manchester-united-vs-newcastle/11-09-2021/319153,Manchester United,Newcastle,2021-09-11T15:00:00,Regular goal,3-1,Bruno Fernandes,80,0
https://www.xscores.com/soccer/match/manchester-united-vs-newcastle/11-09-2021/319153,Manchester United,Newcastle,2021-09-11T15:00:00,Regular goal,4-1,Jesse Lingard,90,2
https://www.xscores.com/soccer/match/watford-vs-wolverhampton/11-09-2021/319155,Watford,Wolverhampton,2021-09-11T15:00:00,Own goal,0-1,Francisco Sierralta,74,0
https://www.xscores.com/soccer/match/watford-vs-wolverhampton/11-09-2021/319155,Watford,Wolverhampton,2021-09-11T15:00:00,Regular goal,0-2,Hee-Chan Hwang,83,0
https://www.xscores.com/soccer/match/chelsea-vs-aston-villa/11-09-2021/319148,Chelsea,Aston Villa,2021-09-11T17:30:00,Regular goal,1-0,Romelu Lukaku,15,0
https://www.xscores.com/soccer/match/chelsea-vs-aston-villa/11-09-2021/319148,Chelsea,Aston Villa,2021-09-11T17:30:00,Regular goal,2-0,Mateo Kovacic,49,0
https://www.xscores.com/soccer/match/chelsea-vs-aston-villa/11-09-2021/319148,Chelsea,Aston Villa,2021-09-11T17:30:00,Regular goal,3-0,Romelu Lukaku,90,3
https://www.xscores.com/soccer/match/leeds-vs-liverpool/12-09-2021/319151,Leeds,Liverpool,2021-09-12T16:30:00,Regular goal,0-1,Mohamed Salah,20,0
https://www.xscores.com/soccer/match/leeds-vs-liverpool/12-09-2021/319151,Leeds,Liverpool,2021-09-12T16:30:00,Regular goal,0-2,Fabinho,50,0
https://www.xscores.com/soccer/match/leeds-vs-liverpool/12-09-2021/319151,Leeds,Liverpool,2021-09-12T16:30:00,Regular goal,0-3,Sadio Mane,90,2
https://www.xscores.com/soccer/match/everton-vs-burnley/13-09-2021/319150,Everton,Burnley,2021-09-13T20:00:00,Regular goal,0-1,Ben Mee,53,0
https://www.xscores.com/soccer/match/everton-vs-burnley/13-09-2021/319150,Everton,Burnley,2021-09-13T20:00:00,Regular goal,1-1,Michael Keane,60,0
https://www.xscores.com/soccer/match/everton-vs-burnley/13-09-2021/319150,Everton,Burnley,2021-09-13T20:00:00,Regular goal,2-1,Andros Townsend,65,0
https://www.xscores.com/soccer/match/everton-vs-burnley/13-09-2021/319150,Everton,Burnley,2021-09-13T20:00:00,Regular goal,3-1,Demarai Gray,66,0
