season,date,home_team,away_team,url
1996/1997,1996-09-21T01:00:00,Blackburn,Everton,https://www.xscores.com/soccer/match/blackburn-vs-everton/21-09-1996/1596804
1996/1997,1996-09-21T01:00:00,Leeds,Newcastle,https://www.xscores.com/soccer/match/leeds-vs-newcastle/21-09-1996/1596805
1996/1997,1996-09-21T01:00:00,Liverpool,Chelsea,https://www.xscores.com/soccer/match/liverpool-vs-chelsea/21-09-1996/1596806
1996/1997,1996-09-21T01:00:00,Middlesbrough,Arsenal,https://www.xscores.com/soccer/match/middlesbrough-vs-arsenal/21-09-1996/1596807
1996/1997,1996-09-21T01:00:00,Nottingham Forest,West Ham,https://www.xscores.com/soccer/match/nottingham-forest-vs-west-ham/21-09-1996/1596808
1996/1997,1996-09-21T01:00:00,Sheffield Wednesday,Derby,https://www.xscores.com/soccer/match/sheffield-wednesday-vs-derby/21-09-1996/1596809
1996/1997,1996-09-21T01:00:00,Sunderland,Coventry,https://www.xscores.com/soccer/match/sunderland-vs-coventry/21-09-1996/1596810
1996/1997,1996-09-22T01:00:00,Tottenham,Leicester,https://www.xscores.com/soccer/match/tottenham-vs-leicester/22-09-1996/1596811
1996/1997,1996-09-23T01:00:00,AFC Wimbledon,Southampton,https://www.xscores.com/soccer/match/afc-wimbledon-vs-southampton/23-09-1996/1596812
1996/1997,1996-09-28T01:00:00,Arsenal,Sunderland,https://www.xscores.com/soccer/match/arsenal-vs-sunderland/28-09-1996/1596813
1996/1997,1996-09-28T01:00:00,Chelsea,Nottingham Forest,https://www.xscores.com/soccer/match/chelsea-vs-nottingham-forest/28-09-1996/1596814
1996/1997,1996-09-28T01:00:00,Coventry,Blackburn,https://www.xscores.com/soccer/match/coventry-vs-blackburn/28-09-1996/1596815
1996/1997,1996-09-28T01:00:00,Derby,AFC Wimbledon,https://www.xscores.com/soccer/match/derby-vs-afc-wimbledon/28-09-1996/1596816
1996/1997,1996-09-28T01:00:00,Everton,Sheffield Wednesday,https://www.xscores.com/soccer/match/everton-vs-sheffield-wednesday/28-09-1996/1596817
