URL,Goal Type,Score,Player,Elapsed Time,Added Time
https://www.xscores.com/soccer/match/luton-vs-west-ham/01-09-2023/2139470,Regular goal,0-2,Kurt Zouma,85,0
https://www.xscores.com/soccer/match/luton-vs-west-ham/01-09-2023/2139470,Regular goal,1-2,Mads Juel Andersen,90,2
https://www.xscores.com/soccer/match/sheffield-united-vs-everton/02-09-2023/2139472,Regular goal,0-1,Abdoulaye Doucoure,14,0
https://www.xscores.com/soccer/match/sheffield-united-vs-everton/02-09-2023/2139472,Regular goal,1-1,Cameron Archer,33,0
https://www.xscores.com/soccer/match/sheffield-united-vs-everton/02-09-2023/2139472,Own goal,2-1,Jordan Pickford,45,3
https://www.xscores.com/soccer/match/sheffield-united-vs-everton/02-09-2023/2139472,Regular goal,2-2,Arnaut Danjuma,55,0
https://www.xscores.com/soccer/match/brentford-vs-bournemouth/02-09-2023/2139445,Regular goal,1-0,Mathias Jensen,7,0
https://www.xscores.com/soccer/match/brentford-vs-bournemouth/02-09-2023/2139445,Regular goal,1-1,Dominic Solanke,30,0
https://www.xscores.com/soccer/match/brentford-vs-bournemouth/02-09-2023/2139445,Regular goal,1-2,David Brooks,77,0
https://www.xscores.com/soccer/match/brentford-vs-bournemouth/02-09-2023/2139445,Regular goal,2-2,Bryan Mbeumo,90,3
https://www.xscores.com/soccer/match/burnley-vs-tottenham/02-09-2023/2139444,Regular goal,1-0,Lyle Foster,4,0
https://www.xscores.com/soccer/match/burnley-vs-tottenham/02-09-2023/2139444,Regular goal,1-1,Heung-Min Son,16,0
https://www.xscores.com/soccer/match/burnley-vs-tottenham/02-09-2023/2139444,Regular goal,1-2,Cristian Romero,45,2
https://www.xscores.com/soccer/match/burnley-vs-tottenham/02-09-2023/2139444,Regular goal,1-3,James Maddison,54,0
https://www.xscores.com/soccer/match/burnley-vs-tottenham/02-09-2023/2139444,Regular goal,1-4,Heung-Min Son,63,0
https://www.xscores.com/soccer/match/burnley-vs-tottenham/02-09-2023/2139444,Regular goal,1-5,Heung-Min Son,66,0
https://www.xscores.com/soccer/match/burnley-vs-tottenham/02-09-2023/2139444,Regular goal,2-5,Josh Brownhill,90,4
https://www.xscores.com/soccer/match/chelsea-vs-nottingham-forest/02-09-2023/2139467,Regular goal,0-1,Anthony Elanga,48,0
https://www.xscores.com/soccer/match/manchester-city-vs-fulham/02-09-2023/2139471,Regular goal,1-0,Julian Alvarez,31,0
https://www.xscores.com/soccer/match/manchester-city-vs-fulham/02-09-2023/2139471,Regular goal,1-1,Tim Ream,33,0
https://www.xscores.com/soccer/match/manchester-city-vs-fulham/02-09-2023/2139471,Regular goal,2-1,Nathan Ake,45,5
https://www.xscores.com/soccer/match/manchester-city-vs-fulham/02-09-2023/2139471,Regular goal,3-1,Erling Haaland,58,0
https://www.xscores.com/soccer/match/manchester-city-vs-fulham/02-09-2023/2139471,Penalty,4-1,Erling Haaland,70,0
https://www.xscores.com/soccer/match/manchester-city-vs-fulham/02-09-2023/2139471,Regular goal,5-1,Erling Haaland,90,5
https://www.xscores.com/soccer/match/brighton-vs-newcastle/02-09-2023/2139443,Regular goal,1-0,Evan Ferguson,27,0
https://www.xscores.com/soccer/match/brighton-vs-newcastle/02-09-2023/2139443,Regular goal,2-0,Evan Ferguson,65,0
https://www.xscores.com/soccer/match/brighton-vs-newcastle/02-09-2023/2139443,Regular goal,3-0,Evan Ferguson,70,0
https://www.xscores.com/soccer/match/brighton-vs-newcastle/02-09-2023/2139443,Regular goal,3-1,Callum Wilson,90,2
https://www.xscores.com/soccer/match/crystal-palace-vs-wolverhampton/03-09-2023/2139468,Regular goal,1-0,Odsonne Edouard,56,0
https://www.xscores.com/soccer/match/crystal-palace-vs-wolverhampton/03-09-2023/2139468,Regular goal,1-1,Hee-Chan Hwang,65,0
https://www.xscores.com/soccer/match/crystal-palace-vs-wolverhampton/03-09-2023/2139468,Regular goal,2-1,Eberechi Eze,78,0
https://www.xscores.com/soccer/match/crystal-palace-vs-wolverhampton/03-09-2023/2139468,Regular goal,3-1,Odsonne Edouard,84,0
https://www.xscores.com/soccer/match/crystal-palace-vs-wolverhampton/03-09-2023/2139468,Regular goal,3-2,Matheus Cunha,90,6
https://www.xscores.com/soccer/match/liverpool-vs-aston-villa/03-09-2023/2139469,Regular goal,1-0,Dominik Szoboszlai,3,0
https://www.xscores.com/soccer/match/liverpool-vs-aston-villa/03-09-2023/2139469,Own goal,2-0,Matty Cash,22,0
https://www.xscores.com/soccer/match/liverpool-vs-aston-villa/03-09-2023/2139469,Regular goal,3-0,Mohamed Salah,55,0
https://www.xscores.com/soccer/match/arsenal-vs-manchester-united/03-09-2023/2139446,Regular goal,0-1,Marcus Rashford,27,0
https://www.xscores.com/soccer/match/arsenal-vs-manchester-united/03-09-2023/2139446,Regular goal,1-1,Martin Oedegaard,28,0
https://www.xscores.com/soccer/match/arsenal-vs-manchester-united/03-09-2023/2139446,Regular goal,2-1,Declan Rice,90,6
https://www.xscores.com/soccer/match/arsenal-vs-manchester-united/03-09-2023/2139446,Regular goal,3-1,Gabriel Jesus,90,11
